MSSubClass,LotArea,YearBuilt,GrLivArea,MasVnrArea,SalePrice
60,8450,2003,1710,196,208500
20,9600,1976,1262,0,181500
60,11250,2001,1786,162,223500
70,9550,1915,1717,0,140000
60,14260,2000,2198,350,250000
50,14115,1993,1362,0,143000
20,10084,2004,1694,186,307000
60,10382,1973,2090,240,200000
50,6120,1931,1774,0,129900
190,7420,1939,1077,0,118000
20,11200,1965,1040,0,129500
60,11924,2005,2324,286,345000
20,12968,1962,912,0,144000
20,10652,2006,1494,306,279500
20,10920,1960,1253,212,157000
45,6120,1929,854,0,132000
20,11241,1970,1004,180,149000
90,10791,1967,1296,0,90000
20,13695,2004,1114,0,159000
20,7560,1958,1339,0,139000
60,14215,2005,2376,380,325300
45,7449,1930,1108,0,139400
20,9742,2002,1795,281,230000
120,4224,1976,1060,0,129900
20,8246,1968,1060,0,154000
20,14230,2007,1600,640,256300
20,7200,1951,900,0,134800
20,11478,2007,1704,200,306000
20,16321,1957,1600,0,207500
30,6324,1927,520,0,68500
70,8500,1920,1317,0,40000
20,8544,1966,1228,0,149350
20,11049,2007,1234,0,179900
20,10552,1959,1700,0,165500
120,7313,2005,1561,246,277500
60,13418,2004,2452,132,309000
20,10859,1994,1097,0,145000
20,8532,1954,1297,650,153000
20,7922,1953,1057,0,109000
90,6040,1955,1152,0,82000
20,8658,1965,1324,101,160000
20,16905,1959,1328,0,170000
85,9180,1983,884,0,144000
20,9200,1975,938,0,130250
20,7945,1959,1150,0,141000
120,7658,2005,1752,412,319900
50,12822,2003,2149,0,239686
20,11096,2006,1656,0,249700
190,4456,1920,1452,0,113000
20,7742,1966,955,0,127000
60,13869,1997,1470,0,177000
50,6240,1934,1176,0,114500
90,8472,1963,816,0,110000
20,50271,1981,1842,0,385000
80,7134,1955,1360,0,130000
20,10175,1964,1425,272,180500
160,2645,1999,1739,456,172500
60,11645,2004,1720,0,196500
60,13682,2006,2945,1031,438780
20,7200,1972,780,0,124900
20,13072,2004,1158,0,158000
75,7200,1920,1111,0,101000
120,6442,2006,1370,178,202500
70,10300,1921,1710,0,140000
60,9375,1997,2034,573,219500
60,9591,2004,2473,344,317000
20,19900,1970,2207,287,180000
20,10665,2003,1479,167,226000
30,4608,1945,747,0,80000
50,15593,1953,2287,0,225000
20,13651,1973,2223,1115,244000
20,7599,1982,845,0,129500
60,10141,1998,1718,40,185000
20,10200,1954,1086,104,144900
50,5790,1915,1605,0,107400
180,1596,1973,988,0,91000
20,8475,1956,952,0,135750
50,8635,1948,1285,0,127000
90,10778,1968,1768,0,136500
50,10440,1910,1230,0,110000
60,13000,1968,2142,576,193500
120,4500,1998,1337,443,153500
20,10206,2007,1563,468,245000
20,8892,1960,1065,66,126500
80,8530,1995,1474,22,168500
60,16059,1991,2417,284,260000
60,11911,2005,1560,0,174000
160,3951,2009,1224,76,164500
50,8470,1915,1526,0,85000
20,8070,1994,990,0,123600
20,7200,1950,1040,0,109900
20,8500,1961,1235,203,98600
30,13360,1921,964,0,163500
190,7200,1910,2291,0,133900
60,9337,1997,1786,0,204750
60,9765,1993,1470,68,185000
20,10264,1999,1588,183,214000
20,10921,1965,960,48,94750
30,10625,1920,835,0,83000
20,9320,1959,1225,0,128950
20,10603,1977,1610,28,205000
60,9206,1985,1732,336,178000
90,7018,1979,1535,0,118964
20,10402,2009,1226,0,198900
50,7758,1931,1818,600,169500
60,9375,2003,1992,768,250000
30,10800,1885,1047,0,100000
20,6000,1948,789,0,115000
50,8500,1919,1517,0,115000
20,11751,1977,1844,480,190000
50,9525,1954,1855,0,136900
80,7750,2000,1430,0,180000
60,9965,2007,2696,220,383970
20,21000,1953,2259,184,217000
70,7259,1945,2320,0,259500
160,3230,1999,1458,1129,176000
20,11616,1962,1092,116,139000
20,8536,2006,1125,0,155000
60,12376,1990,3222,0,320000
60,8461,2005,1456,0,163990
80,21453,1969,988,0,180000
50,6060,1939,1123,0,100000
20,9464,1958,1080,135,136000
120,7892,1993,1199,0,153900
20,17043,1979,1586,0,181000
190,6780,1935,754,0,84500
120,4928,1976,958,0,128000
45,4388,1930,840,0,87000
60,7590,1966,1348,266,155000
20,8973,1958,1053,85,150000
60,14200,1966,2157,309,226000
60,12224,2000,2054,40,244000
20,7388,1959,1327,0,150750
20,6853,2001,1296,136,220000
20,10335,1968,1721,0,180000
20,10400,1970,1682,288,174000
20,10355,1967,1214,196,143000
90,11070,1988,1959,70,171000
60,9066,1999,1852,320,230000
60,15426,1997,1764,0,231500
20,10500,1971,864,0,115000
20,11645,2005,1734,0,260000
50,8520,1952,1385,0,166000
20,10335,1999,1501,183,204000
90,9100,1963,1728,336,125000
160,2522,2004,1709,50,130000
30,6120,1931,875,0,105000
60,9505,2001,2035,180,222500
20,7500,2004,1080,120,141000
50,6240,1936,1344,0,115000
20,10356,1975,969,0,122000
20,13891,2007,1710,436,372402
60,14803,1971,1993,252,190000
20,13500,1960,1252,0,235000
30,11340,1923,1200,0,125000
50,9600,1924,1096,0,79000
20,7200,1950,1040,0,109500
60,12003,2009,1968,84,269500
60,12552,2004,1947,0,254900
60,19378,2005,2462,456,320000
20,11120,1984,1232,0,162500
60,13688,2003,2668,664,412500
20,12182,2005,1541,226,220000
45,5500,1956,882,0,103200
40,5400,1926,1616,0,152000
190,10106,1940,1355,0,127500
20,10708,1955,1867,0,190000
60,10562,2007,2161,300,325624
60,8244,2004,1720,0,183500
20,16669,1981,1707,653,228000
50,12358,1941,1382,0,128500
20,31770,1960,1656,112,215000
160,5306,1987,1767,0,239000
20,10197,1961,1362,491,163000
20,12416,1986,1651,132,184000
20,12615,1950,2158,0,243000
60,10029,1988,2060,268,211000
50,13650,1958,1920,0,172500
20,17423,2008,2234,748,501837
30,8520,1923,968,0,100000
160,2117,2000,1525,456,177000
70,7588,1920,1802,0,200100
20,9060,1957,1340,98,120000
50,11426,2003,2082,0,200000
50,7438,1908,1252,0,127000
75,22950,1892,3608,0,475000
80,9947,1990,1217,0,173000
50,10410,1916,1656,0,135000
90,7018,1979,1224,275,153337
120,4923,2001,1593,0,286000
70,10570,1932,2727,0,315000
60,7472,1972,1479,138,184000
20,9017,1999,1431,0,192000
160,2522,2004,1709,50,130000
20,7180,1972,864,0,127000
160,2280,1976,1456,0,148500
20,9416,2007,1726,205,311872
75,25419,1918,3112,0,235000
75,5520,1912,2229,0,104000
20,9591,2004,1713,262,274900
20,8546,2003,1121,0,140000
20,10125,1977,1279,0,171500
50,7000,1924,1310,0,112000
120,4438,2004,848,205,149000
50,3500,1947,1284,0,110000
20,11851,1990,1442,0,180500
20,13673,1962,1696,0,143900
20,12493,1960,1100,0,141000
60,14364,1988,2062,128,277000
20,8250,1964,1092,260,145000
30,5604,1925,864,0,98000
20,10420,2009,1212,0,186000
60,8640,2009,1852,0,252678
20,13568,1995,990,0,156000
60,10900,1977,1392,153,161750
20,10011,1957,1236,64,134450
20,8450,2004,1436,266,210000
70,9906,1925,1328,0,107000
50,15660,1939,1954,312,311500
120,3010,2005,1248,16,167240
20,8990,2006,1498,0,204900
60,8068,2002,2267,0,200000
60,11475,1975,1552,0,179900
20,10500,1971,864,0,97000
20,13472,2003,2392,922,386250
160,1680,1971,1302,142,112000
60,9950,1995,2520,290,290000
160,1869,1970,987,127,106000
20,8521,1967,912,0,125000
120,3182,2005,1555,16,192500
20,8760,1959,1194,220,148000
60,15138,1995,2794,506,403000
160,1680,1972,987,297,94500
20,10650,1976,894,0,128200
60,7851,2002,1960,0,216500
160,1680,1971,987,604,89500
20,8773,2004,1414,98,185500
60,9453,1993,1744,0,194500
20,12030,2007,1694,254,318000
50,8741,1945,1487,0,113000
20,9000,2008,1566,36,262500
30,3880,1945,866,0,110500
50,5000,1900,1440,0,79000
160,10762,1980,1217,0,120000
60,8880,1994,2110,0,205000
20,10400,1988,1872,102,241500
190,9142,1910,1928,0,137000
20,11310,1954,1375,0,140000
60,11317,2003,1668,101,180000
50,159000,1958,2144,472,277000
30,5350,1940,1306,0,76500
120,4750,2006,1625,481,235000
60,8366,2004,1640,0,173000
80,9350,1964,1302,108,158000
20,8400,1957,1314,0,145000
60,8738,1999,2291,302,230000
60,8791,2003,1728,0,207500
20,8814,2006,1604,180,220000
60,12435,2001,1792,172,231500
20,12702,1956,882,0,97000
80,19296,1962,1382,399,176000
60,9588,2007,2574,270,276000
80,8471,1977,1212,46,151000
50,5500,1929,1316,0,130000
30,5232,1925,764,0,73000
20,12090,1981,1422,210,175500
60,11207,1997,1511,0,185000
75,8400,1939,2192,0,179500
30,6900,1940,778,0,120500
20,7917,1976,1113,174,148000
60,10728,2006,1939,0,266000
20,39104,1954,1363,0,241500
60,11764,1999,2270,348,290000
20,9600,1958,1632,183,139000
20,8314,1982,816,0,124500
50,7264,1925,1548,0,205000
20,9196,2003,1560,0,201000
20,19138,1951,864,0,141000
20,14450,2006,2121,315,415298
60,10005,1977,2022,299,192000
60,11287,1989,1982,340,228500
20,7200,2006,1262,68,185000
120,5063,2007,1314,166,207500
20,9612,2008,1468,72,244600
120,8012,1992,1575,0,179200
160,4251,2006,1250,0,164700
50,9786,1962,1734,0,159000
20,8125,1971,858,0,88000
20,9819,1967,900,31,122000
70,8730,1915,1396,0,153575
60,15611,2006,1919,0,233230
190,5687,1912,1716,0,135900
50,11409,1949,1716,0,131000
60,16659,1977,2263,34,235000
20,9600,1953,1644,238,167000
80,7937,1984,1003,0,142500
50,13710,1950,1558,0,152000
60,7399,1997,1950,1600,239000
60,11700,1968,1743,365,175000
20,14000,1950,1152,0,158500
190,15750,1953,1336,56,157000
60,16226,1998,2452,0,267000
20,13704,2001,1541,150,205000
20,9800,1972,894,0,149900
75,18386,1880,3493,0,295000
20,10386,2004,2000,246,305900
60,13474,1990,2243,246,225000
50,7920,1920,1406,0,89500
30,12342,1940,861,0,82500
20,12378,2003,1944,0,360000
60,7685,1993,1501,112,165600
20,8000,1948,972,0,132000
190,7800,1939,1118,0,119900
20,215245,1965,2036,0,375000
70,9600,1925,1641,0,178000
60,7795,2004,1432,0,188500
60,13005,1980,2353,278,260000
60,9000,2006,1959,0,270000
60,9900,1993,2646,256,260000
80,14115,1980,1472,225,187500
60,16259,2006,2596,370,342643
60,12099,2004,2468,388,354000
60,10380,1986,2730,172,301000
20,5820,1955,1163,0,126175
80,11275,1967,2978,300,242000
45,5000,1941,803,0,87000
120,10846,1993,1719,0,324000
20,11600,1960,1383,175,145250
75,11888,1916,2134,0,214500
70,6402,1920,1192,0,78000
90,10624,1964,1728,84,119000
20,8176,1958,1056,0,139000
20,10655,2003,1629,296,284000
120,8198,2004,1358,146,207000
60,9042,1998,1638,0,192000
190,164660,1965,1786,0,228950
20,14157,2005,1922,200,377426
20,9135,2002,1536,113,214000
20,14145,1984,1621,0,202500
20,12400,1958,1215,176,155000
60,14191,2002,1908,0,202900
20,8400,1950,841,0,82000
90,8544,1949,1040,340,87500
120,8849,2005,1684,616,266000
160,2592,1976,1112,0,85000
50,6435,1939,1577,0,140200
20,12772,1960,958,0,151500
20,17600,1960,1478,30,157500
160,2448,2003,1626,106,154000
60,20431,2005,2728,870,437154
120,7820,2007,1869,362,318061
120,5271,1986,1453,0,190000
50,9084,1941,1111,0,95000
30,8520,1928,720,0,105900
50,8400,1940,1595,0,140000
20,11249,1995,1200,0,177500
20,9248,1992,1167,106,173000
120,4224,1976,1142,0,134000
80,6930,1958,1352,120,130000
60,12011,1998,1924,530,280000
85,7540,1978,912,0,156000
50,9144,1940,1505,0,145000
85,7301,2003,1922,500,198500
160,1680,1972,987,510,118000
60,18800,1976,1574,120,190000
70,10690,1920,1344,0,147000
20,9500,1963,1394,247,159000
80,9150,1962,1431,305,165000
20,7800,1954,1268,200,132000
20,9830,1959,1287,0,162000
60,8121,2000,1664,0,172400
50,17120,1959,1588,0,134432
120,7175,1984,752,0,125000
20,10634,1953,1319,0,123000
60,8200,2003,1928,0,219500
30,10020,1922,904,0,61000
85,8846,1996,914,0,148000
60,11143,2004,2466,0,340000
20,11394,2010,1856,350,394432
60,8123,2000,1800,16,179000
50,5000,1924,1691,0,127000
20,7200,2006,1301,0,187750
60,9245,2006,1797,0,213500
45,9000,1928,784,0,76000
60,53107,1992,1953,0,240000
120,3182,2004,1269,16,192000
50,8410,1910,1184,0,81000
80,7200,1976,1125,255,125000
20,9382,1999,1479,125,191000
60,12474,2007,2332,272,426000
50,8405,1900,1367,0,119000
60,12209,2001,1961,0,215000
20,8339,1959,882,0,106500
30,7446,1941,788,0,100000
50,10134,1940,1034,0,109000
20,9571,1956,1144,0,129000
20,7200,1972,894,0,123000
60,7590,1962,1812,288,169500
30,8967,1920,1077,0,67000
60,8125,2006,1550,100,241000
120,14963,1996,1288,0,245500
20,8767,2005,1310,0,164990
30,10200,1940,672,0,108000
60,12090,1998,2263,650,258000
60,10364,1995,1572,0,168000
20,9991,1976,1620,0,150000
50,10480,1936,1639,0,115000
70,15576,1915,1680,0,177000
60,14154,2006,2172,350,280000
60,10800,2007,2078,100,339750
20,9571,1958,1276,0,60000
190,34650,1955,1056,0,145000
20,4403,2009,1478,432,222000
30,8960,1927,1028,0,115000
60,11228,1993,2097,0,228000
20,8899,2007,1340,0,181134
60,7844,1978,1400,203,149500
70,22420,1918,2624,0,239000
50,8160,1940,1134,0,126000
20,8450,1968,1056,0,142000
90,7060,1997,1344,200,206300
20,16635,1977,1602,126,215000
20,21750,1954,988,0,113000
60,9200,1998,2630,473,315000
20,9000,1956,1196,74,139000
60,3378,1946,1389,0,135000
80,12800,1989,1644,145,275000
20,8593,1957,907,0,109008
20,6762,2007,1208,108,195400
20,11457,1988,1412,0,175000
160,1680,1971,987,232,85400
50,5586,1920,1198,0,79900
160,1920,1971,1365,376,122500
60,10839,1997,1604,0,181000
180,1890,1972,630,0,81000
60,10667,1996,1661,0,212000
50,4400,1920,1118,0,116000
45,6000,1926,904,0,119000
30,4280,1913,694,0,90350
50,12354,1920,1196,0,110000
20,15431,2008,2402,200,555000
90,12108,1955,1440,270,118000
50,6240,1930,1573,0,162900
120,3922,2006,1258,72,172500
60,8750,1994,1908,0,210000
20,9855,1956,1689,0,127500
20,16492,1966,1888,0,190000
60,11214,1998,1886,0,199900
50,8600,1937,1376,0,119500
50,6000,1948,1183,0,120000
30,5684,1930,813,0,110000
20,70761,1975,1533,0,280000
60,9303,1996,1756,42,204000
60,9000,2008,1590,0,210000
90,9297,1976,1728,0,188000
20,9600,1973,1242,320,175500
70,4571,1916,1344,0,98000
20,53227,1954,1663,0,256000
70,5100,1925,1666,0,161000
50,7015,1950,1203,161,110000
60,8004,2009,1935,110,263435
70,7200,1936,1135,0,155000
20,8281,1965,864,0,62383
70,11988,1934,1660,0,188700
20,8430,1978,1040,136,124000
120,3072,2004,1414,18,178740
20,10628,1970,1277,0,167000
70,9480,1942,1644,224,146500
20,11428,2006,1634,248,250000
60,9291,1993,1710,120,187000
120,6820,1985,1502,0,212000
60,11952,1977,1969,0,190000
180,3675,2005,1072,80,148000
20,14977,2006,1976,304,440000
120,5330,2000,1652,0,251000
20,8480,1963,970,0,132500
20,13125,1997,1493,215,208900
60,13693,2006,2643,772,380000
20,10637,2007,1718,336,297000
30,5925,1937,1131,435,89471
20,16033,2004,1850,378,326000
20,11846,2003,1792,562,374000
70,2500,1915,1826,0,155000
120,4500,1998,1216,116,164000
20,7758,1962,999,0,132500
20,9600,1950,1113,0,147000
20,10289,1965,1073,168,156000
20,12243,1971,1484,0,175000
190,10800,1900,2414,0,160000
180,1526,1970,630,0,86000
160,2665,1976,1304,0,115000
50,9490,1941,1578,0,133000
60,15578,2006,1456,0,172785
20,7931,1960,1269,0,155000
30,5784,1938,886,0,91300
30,7879,1920,720,0,34900
20,12692,1992,3228,0,430000
50,9120,1925,1820,0,184000
20,7800,1967,899,89,130000
20,7535,1958,912,0,120000
160,1890,1973,1218,285,113000
60,9803,2005,1768,0,226700
20,9170,1965,1214,0,140000
20,15602,1959,1801,0,289000
160,2308,1974,1322,0,147000
90,7596,1952,1960,360,124500
60,9554,1993,1911,125,215000
20,7862,2009,1218,0,208300
70,9600,1928,1378,0,161000
20,9600,1959,1041,132,124500
20,14559,1951,1363,70,164900
120,6792,2005,1368,94,202665
20,9100,1958,864,0,129900
20,9187,1983,1080,0,134000
45,10594,1926,789,0,96500
20,12220,2009,2020,305,402861
80,10448,1972,2119,333,158000
60,10208,1996,2344,921,265000
60,9531,1998,1796,0,211000
70,10918,1926,2080,0,234000
190,10800,1900,1294,0,106250
20,11988,1957,1244,0,150000
50,5000,1947,1664,0,159000
60,40094,2007,4676,762,184750
60,11787,1996,2398,594,315750
20,7500,2005,1266,0,176000
20,13300,1956,928,0,132000
60,14948,2008,2713,268,446261
30,9098,1920,605,0,86000
20,32668,1957,2515,0,200624
80,10200,1988,1509,219,175000
70,6155,1920,1362,0,128000
20,7200,1955,827,0,107500
20,5000,1946,334,0,39300
60,9056,2004,1414,0,178000
190,7000,1910,1347,0,107500
60,8924,1998,1724,0,188000
20,12735,1972,864,0,111250
20,11553,1968,1159,188,158000
20,11423,2001,1601,479,272000
20,14601,2006,1838,584,315000
60,11000,2000,2285,72,248000
20,10140,1998,1680,0,213250
120,4058,1998,767,182,133000
60,17104,2006,1496,0,179665
50,13837,1988,2183,178,229000
50,8737,1923,1635,0,210000
85,7244,1970,768,0,129500
20,8235,1955,825,0,125000
60,9375,2003,2094,0,263000
120,4043,1977,1069,0,140000
20,6000,1957,928,0,112500
20,11146,2006,1717,250,255500
20,8777,1949,1126,0,108000
60,10625,2003,2046,292,284000
45,6380,1922,1048,0,113000
20,14850,1957,1092,0,141000
50,11040,1920,1336,0,108000
60,21872,1996,1446,0,175000
120,3196,2003,1557,18,234000
20,11341,1957,1392,180,121500
20,10010,1974,1389,0,170000
30,13907,1940,996,0,108000
50,21780,1918,1674,0,185000
60,13346,1992,2295,0,268000
70,6858,1915,1647,0,128000
60,11198,2005,2504,245,325000
20,10171,2004,1535,168,214000
50,12327,1983,2132,0,316600
90,7032,1979,943,0,135960
90,13101,1965,1728,108,142600
20,7332,1959,864,207,120000
60,13159,2009,1692,0,224500
80,9967,2000,1430,0,170000
80,10500,1971,1109,82,139000
50,8480,1947,1216,0,118500
50,6292,1928,1477,0,145000
80,11777,1966,1320,97,164500
160,3604,2007,1392,0,146000
50,12150,1954,1795,335,131500
20,14585,1960,1429,85,181900
20,12704,2008,2042,306,253293
90,11841,1990,816,104,118500
75,13500,1893,2775,0,325000
50,6120,1935,1573,0,133000
20,11443,2005,2028,208,369900
30,10267,1918,838,0,130000
85,8740,1982,860,0,137000
20,25095,1968,1473,0,143000
40,9100,1930,935,0,79500
60,8320,2004,1582,0,185900
60,13478,2008,2296,420,451950
20,6600,1982,816,0,138000
120,4435,2003,848,170,140000
20,7990,1975,924,0,110000
20,11302,2005,1826,238,319000
70,3600,1910,1368,0,114504
120,3922,2006,1402,72,194201
20,12984,1977,1647,459,217500
160,1950,1980,1556,0,151000
60,10927,2005,1904,280,275000
50,9000,1937,1375,0,141000
60,10041,1992,1915,0,220000
160,3182,2004,1200,0,151000
20,12803,2002,1494,99,221000
60,13600,1965,1986,176,205000
20,12464,1996,1040,0,152000
20,7800,1948,2008,0,225000
70,12168,1934,3194,0,359100
20,7943,1961,1029,192,118500
60,11050,2000,2153,204,313000
80,10395,1978,1032,233,148000
60,11885,2001,1872,108,261500
20,8402,2007,1120,0,147000
180,1491,1972,630,0,75500
85,8800,1963,1054,156,137500
60,7861,2002,1509,0,183200
45,7227,1954,832,0,105500
20,11694,2007,1828,452,314813
60,12244,2003,2262,226,305000
30,8248,1914,864,0,67000
60,10800,1974,2614,0,240000
20,7064,1977,980,153,135000
160,2117,2000,1512,513,168500
60,10400,1972,1790,288,165150
20,10000,1962,1116,261,160000
20,12342,1960,1422,0,139900
80,9600,1955,1520,164,153000
60,11606,1969,2080,192,135000
80,9020,1964,1350,259,168500
70,9000,1880,1750,0,124000
120,4590,2006,1554,108,209500
20,11900,1977,1411,209,82500
20,9250,1954,1056,0,139400
90,6979,1980,1056,0,144000
190,10896,1914,3395,0,200000
30,6120,1936,800,0,60000
190,6000,1954,1387,0,93000
30,8777,1910,796,0,85000
120,3982,2006,1567,0,264561
120,12677,2003,1518,472,274000
60,7050,2001,1929,0,226000
80,13860,1972,2704,0,345000
60,10793,1969,1620,263,152000
20,9187,2009,1766,162,370878
20,10530,1971,981,0,143250
20,7200,1950,1048,0,98300
20,10452,1953,1094,216,155000
60,7700,1966,1839,351,155000
180,1936,1970,630,0,84500
60,8125,2007,1665,0,205950
70,9084,1940,1510,0,108000
60,8750,1996,1716,0,191000
50,10320,1906,1469,0,135000
20,10437,1995,2113,660,350000
160,1680,1971,1092,381,88000
20,10007,1959,1053,54,145500
70,7200,1931,1502,0,149000
50,17503,1948,1458,0,97500
20,9937,1964,1486,0,167000
60,12384,1976,1935,233,197900
60,46589,1994,2448,528,402000
20,13560,1968,1392,216,110000
85,10012,1972,1181,0,137500
20,20896,2005,2097,0,423000
60,11194,2000,1936,40,230500
60,18450,1965,2380,113,129000
20,8125,1994,1679,258,193500
20,14175,1956,1437,0,168000
30,11600,1922,1180,0,137500
60,8633,2005,1476,0,173500
70,6629,1925,1369,0,103600
20,11250,1977,1208,0,165000
20,14442,1957,1839,106,257500
20,9200,1965,1136,0,140000
160,2289,1978,1441,0,148500
70,9600,1900,1774,0,87000
30,9022,1924,792,0,109500
20,11844,2008,2046,464,372500
20,9945,1961,988,57,128500
120,8012,1980,923,0,143000
50,4500,1932,1520,0,159434
120,2887,1996,1291,0,173000
20,11248,2002,1668,215,285000
60,16770,1998,1839,30,221000
160,5062,1984,2090,0,207500
60,10207,2007,1761,0,227875
160,5105,2004,1102,0,148800
20,8089,2007,1419,0,392000
120,7577,2005,1362,256,194700
120,4426,2004,848,147,141000
60,21535,1994,4316,1170,755000
60,26178,1989,2519,293,335000
30,5400,1921,1073,0,108480
50,6120,1936,1539,0,141500
20,13811,1987,1137,72,176000
30,6000,1921,616,0,89000
20,6420,1952,1148,0,123500
20,8450,1965,894,0,138500
120,4282,2004,1391,0,196000
20,14331,2002,1800,630,312500
20,9600,1969,1164,168,140000
60,12438,2006,2576,466,361919
190,7630,1900,1812,0,140000
20,8400,2004,1484,109,213000
190,5600,1930,1092,0,55000
20,115149,1971,1824,351,302000
120,6240,2006,1324,176,254000
60,9018,2007,1456,0,179540
20,7162,1966,904,41,109900
30,4130,1935,729,0,52000
50,8712,1900,1178,0,102776
120,4671,1988,1228,0,189000
190,9873,1970,960,160,129000
60,13517,1976,1479,289,130500
20,10140,1974,1350,174,165000
70,10800,1890,2554,0,159500
20,10000,1973,1178,0,157000
60,10542,1993,2418,651,341000
20,9920,1969,971,0,128500
120,6563,1985,1742,0,275000
120,4426,2004,848,169,143000
20,8120,1970,864,0,124500
50,8172,1954,1470,0,135000
20,13286,2007,1698,340,320000
20,6960,1970,864,0,120500
20,21695,1988,1680,260,222000
